,Unnamed: 0,POPESTIMATE2019,FIPS
263,263,6061,8025.0
264,264,5068,8027.0
265,265,31162,8029.0
266,266,727211,8031.0
267,267,2055,8033.0
268,268,351154,8035.0
269,269,55127,8037.0
270,270,26729,8039.0
271,271,720403,8041.0
272,272,47839,8043.0
273,273,60061,8045.0
274,274,6243,8047.0
275,275,15734,8049.0
276,276,17462,8051.0
277,277,820,8053.0
278,278,6897,8055.0
279,279,1392,8057.0
280,280,582881,8059.0
281,281,1406,8061.0
282,282,7097,8063.0
283,283,8127,8065.0
284,284,56221,8067.0
285,285,356899,8069.0
286,286,14506,8071.0
287,287,5701,8073.0
288,288,22409,8075.0
289,289,154210,8077.0
290,290,769,8079.0
291,291,13283,8081.0
292,292,26183,8083.0
293,293,42758,8085.0
294,294,29068,8087.0
295,295,18278,8089.0
296,296,4952,8091.0
297,297,18845,8093.0
298,298,4265,8095.0
299,299,17767,8097.0
300,300,12172,8099.0
301,301,168424,8101.0
302,302,6324,8103.0
303,303,11267,8105.0
304,304,25638,8107.0
305,305,6824,8109.0
306,306,728,8111.0
307,307,8179,8113.0
308,308,2248,8115.0
309,309,31011,8117.0
310,310,25388,8119.0
311,311,4908,8121.0
312,312,324492,8123.0
313,313,10019,8125.0
314,314,3565287,9000.0
315,315,943332,9001.0
316,316,891720,9003.0
317,317,180333,9005.0
318,318,162436,9007.0
319,319,854757,9009.0
320,320,265206,9011.0
321,321,150721,9013.0
322,322,116782,9015.0
323,323,973764,10000.0
324,324,180786,10001.0
325,325,558753,10003.0
326,326,234225,10005.0
327,327,705749,11000.0
328,328,705749,11001.0
329,329,21477737,12000.0
330,330,269043,12001.0
331,331,29210,12003.0
332,332,174705,12005.0
333,333,28201,12007.0
334,334,601942,12009.0
335,335,1952778,12011.0
336,336,14105,12013.0
337,337,188910,12015.0
338,338,149657,12017.0
339,339,219252,12019.0
340,340,384902,12021.0
341,341,71686,12023.0
342,342,38001,12027.0
343,343,16826,12029.0
344,344,957755,12031.0
345,345,318316,12033.0
346,346,115081,12035.0
347,347,12125,12037.0
348,348,45660,12039.0
349,349,18582,12041.0
350,350,13811,12043.0
351,351,13639,12045.0
352,352,14428,12047.0
353,353,26937,12049.0
354,354,42022,12051.0
355,355,193920,12053.0
356,356,106221,12055.0
357,357,1471968,12057.0
358,358,19617,12059.0
359,359,159923,12061.0
360,360,46414,12063.0
361,361,14246,12065.0
362,362,8422,12067.0
363,363,367118,12069.0
364,364,770577,12071.0
365,365,293582,12073.0
366,366,41503,12075.0
367,367,8354,12077.0
368,368,18493,12079.0
369,369,403253,12081.0
370,370,365579,12083.0
371,371,161000,12085.0
372,372,2716940,12086.0
373,373,74228,12087.0
374,374,88625,12089.0
375,375,210738,12091.0
376,376,42168,12093.0
377,377,1393452,12095.0
378,378,375751,12097.0
379,379,1496770,12099.0
380,380,553947,12101.0
