,Unnamed: 0,POPESTIMATE2019,FIPS,beta
1316,1316,1257584,26125.0,2.1816008298173474e-07
1326,1326,190539,26145.0,1.3681862687619957e-06
1334,1334,367601,26161.0,6.446069235764454e-07
1335,1335,1749343,26163.0,1.6804443811682378e-07
1364,1364,1265843,27053.0,1.9365098099061387e-07
1399,1399,550321,27123.0,3.491372569715854e-07
1600,1600,402022,29183.0,6.066326842328001e-07
1604,1604,994205,29189.0,2.4396015710641366e-07
1623,1623,300576,29510.0,8.70246607856211e-07
1721,1721,61353,31079.0,4.982264680179379e-06
1777,1777,2266715,32003.0,1.0653602765787867e-07
1790,1790,471519,32031.0,4.457707079492624e-07
1799,1799,417025,33011.0,5.846113642939658e-07
1801,1801,309769,33015.0,6.79694706724989e-07
1805,1805,263670,34001.0,9.637831689307684e-07
1806,1806,932202,34003.0,2.8743872840460517e-07
1807,1807,445349,34005.0,5.59889783773055e-07
1808,1808,506471,34007.0,4.7626399145616803e-07
1811,1811,798975,34013.0,3.743470336165804e-07
1812,1812,291636,34015.0,8.877884175531374e-07
1813,1813,672391,34017.0,4.267060570072014e-07
1814,1814,124371,34019.0,1.9014786395810098e-06
1815,1815,367430,34021.0,-5.646518582063641e-06
1816,1816,825062,34023.0,3.509727684064064e-07
1817,1817,618795,34025.0,4.2954144677267465e-07
1818,1818,491845,34027.0,5.60154193138881e-07
1819,1819,607186,34029.0,4.685511665418004e-07
1820,1820,501826,34031.0,5.54412163686941e-07
1822,1822,328934,34035.0,-6.31960763520886e-06
1823,1823,140488,34037.0,1.863379337403555e-06
1824,1824,556341,34039.0,5.09326315670455e-07
1825,1825,105267,34041.0,2.3871840525727492e-06
1827,1827,679121,35001.0,3.315281403082553e-07
1851,1851,123958,35045.0,2.1075574846249188e-06
1861,1861,305506,36001.0,7.725721391770861e-07
1874,1874,294218,36027.0,8.874800852587498e-07
1875,1875,918702,36029.0,3.003888752813661e-07
1888,1888,741770,36055.0,3.2268539864559493e-07
1890,1890,1356924,36059.0,2.138165166078429e-07
1894,1894,460528,36067.0,5.290823061254874e-07
1896,1896,384940,36071.0,-5.42555484742663e-06
1900,1900,98320,36079.0,2.4894876273194485e-06
1904,1904,325789,36087.0,8.308800669818667e-07
1907,1907,155299,36093.0,1.4132252335441668e-06
1912,1912,1476601,36103.0,2.0426626150475774e-07
1920,1920,967506,36119.0,2.9119627767693566e-07
1964,1964,537174,37081.0,-3.765532866947755e-06
1983,1983,1110356,37119.0,-1.840221942009382e-06
2096,2096,1235072,39035.0,1.9522215649875006e-07
2103,2103,1316756,39049.0,1.9911420084508464e-07
2109,2109,817473,39061.0,3.2751832528555775e-07
2125,2125,309833,39093.0,7.129324172305039e-07
2126,2126,428348,39095.0,5.850981080738547e-07
2128,2128,228683,39099.0,1.0896011640770356e-06
2133,2133,106987,39109.0,1.9441904996056094e-06
2145,2145,162466,39133.0,1.4546023013588713e-06
2154,2154,370606,39151.0,5.556855839542352e-07
2155,2155,541013,39153.0,4.210187373206998e-07
2156,2156,197974,39155.0,1.0474224579194491e-06
2163,2163,115710,39169.0,1.982006570408718e-06
2181,2181,284014,40027.0,7.914842787459361e-07
2222,2222,797434,40109.0,2.9070917407530293e-07
2239,2239,651552,40143.0,3.118321204194533e-07
2271,2271,812855,41051.0,2.7026610746580296e-07
2284,2284,1216045,42003.0,-1.680941378985363e-06
2286,2286,163929,42007.0,1.4030382824131855e-06
2288,2288,421164,42011.0,-4.936400129183355e-06
2291,2291,628270,42017.0,4.0749753838514316e-07
2297,2297,524989,42029.0,4.672478122626233e-07
2304,2304,278299,42043.0,9.424310495386161e-07
2305,2305,566747,42045.0,4.289920981730791e-07
2317,2317,209674,42069.0,-9.761548617369423e-06
2318,2318,545724,42071.0,5.118716312887446e-07
2321,2321,369318,42077.0,7.392413940749117e-07
2322,2322,317417,42079.0,8.391045773209458e-07
2327,2327,170271,42089.0,1.3422218845939573e-06
2328,2328,830915,42091.0,3.0017692108720726e-07
2330,2330,305285,42095.0,8.242773684263554e-07
2333,2333,1584064,42101.0,1.8252901853338545e-07
2347,2347,348899,42129.0,6.807703582608451e-07
2354,2354,638931,44007.0,5.634414336625905e-07
2379,2379,523542,45045.0,4.516098160059406e-07
2396,2396,415759,45079.0,6.050232970184821e-07
2489,2489,694144,47037.0,3.4962699064092074e-07
2549,2549,937166,47157.0,2.5736269452545287e-07
2553,2553,191283,47165.0,1.2923468694664606e-06
2581,2581,2003554,48029.0,8.756300905501464e-08
2623,2623,2635516,48113.0,9.70575403762409e-08
2645,2645,811688,48157.0,2.599164000503889e-07
2650,2650,342139,48167.0,6.59974959172818e-07
2667,2667,4713325,48201.0,0.4997656108782089
2718,2718,310569,48303.0,7.671199251920324e-07
2786,2786,2102515,48439.0,1.1638715175867492e-07
2793,2793,1273954,48453.0,1.959088265497986e-07
2839,2839,1160437,49035.0,-1.7387328832226178e-06
2855,2855,163774,50007.0,1.3001706819559139e-06
2873,2873,236842,51013.0,9.651040138864267e-07
2895,2895,1147532,51059.0,2.1267772819489067e-07
2909,2909,330818,51087.0,7.569978966142178e-07
2939,2939,470335,51153.0,-4.350677585203263e-06
3003,3003,204390,53005.0,1.1575817782181797e-06
3017,3017,2252782,53033.0,1.0347956677693221e-07
3027,3027,904980,53053.0,2.4729666753998793e-07
3031,3031,822083,53061.0,1.9326045813539117e-07
3037,3037,229247,53073.0,8.8363479473976e-07
3039,3039,250873,53077.0,9.521674568558892e-07
3137,3137,945726,55079.0,2.79456156362979e-07
