,Unnamed: 0,Unnamed: 0.1,POPESTIMATE2019,FIPS,beta,f
0,37,37,658573,1073.0,3.582560815336164e-07,0.08817079635882591
1,41,41,164542,1081.0,1.3537178161575044e-06,0.1174744619920811
2,49,49,413210,1097.0,6.400932924034894e-07,0.11327673537939917
3,101,101,143476,4005.0,1.6607853590686315e-06,0.18326168509359136
4,106,106,4485414,4013.0,0.4999949038350171,6.79627792012083e-06
5,109,109,1047279,4019.0,2.1876390986935835e-07,0.12158288355885884
6,191,191,1671329,6001.0,1.2683716081008909e-07,0.06064782010961323
7,197,197,1153526,6013.0,1.783213285419459e-07,0.046737384903924685
8,209,209,10039107,6037.0,1.8724318759329232e-08,0.06203335472652494
9,220,220,3175692,6059.0,5.05979281056294e-08,0.019467934690588384
10,223,223,2470546,6065.0,1.0024873098899428e-07,0.07406990770270941
11,224,224,1552058,6067.0,1.2039315004372233e-07,0.05329434884978397
12,226,226,2180085,6071.0,1.2062788254078976e-07,0.1042799137685372
13,227,227,3338330,6073.0,5.5525861693068327e-08,0.04847703106651036
14,228,228,881549,6075.0,1.864255414284648e-07,0.017852039280620076
15,229,229,762148,6077.0,2.814651244186634e-07,0.07976349954683161
16,231,231,766573,6081.0,2.7164385028167637e-07,0.0654780889867635
17,233,233,1927852,6085.0,8.68505096632369e-08,0.05285871983876583
18,244,244,466195,6107.0,-4.3365187581284885e-06,-0.6771268404554525
19,250,250,517421,8001.0,4.7167207141296656e-07,0.08497188048914306
20,252,252,656590,8005.0,3.714980677638658e-07,0.11491256811871683
21,256,256,326196,8013.0,6.976203671941548e-07,0.11393789188760077
22,266,266,727211,8031.0,3.269027803428851e-07,0.09819273894637001
23,271,271,720403,8041.0,2.979645883136981e-07,0.12711787617117654
24,280,280,582881,8059.0,3.757206054706931e-07,0.08822155761030365
25,312,312,324492,8123.0,7.731207265198517e-07,0.11802200997985765
26,315,315,943332,9001.0,2.9235449355056447e-07,0.16145356483387469
27,316,316,891720,9003.0,3.1953806940244023e-07,0.29500273614955264
28,317,317,180333,9005.0,1.2930165505526389e-06,0.1605255070939043
29,318,318,162436,9007.0,1.5231922742508698e-06,0.23274171322464335
30,319,319,854757,9009.0,3.4268597413488196e-07,0.16939035979988304
31,320,320,265206,9011.0,-7.693630907596151e-06,-1.2778384799682434
32,321,321,150721,9013.0,1.5943669042424697e-06,0.17490314499772452
33,324,324,180786,10001.0,1.3814402021355413e-06,0.06832813312912608
34,325,325,558753,10003.0,4.365368806851353e-07,0.07109365171954962
35,326,326,234225,10005.0,1.1685686143406538e-06,0.060959274062695995
36,328,328,705749,11001.0,3.536629150833157e-07,0.0967093578670756
37,335,335,1952778,12011.0,1.280729405952691e-07,0.07567843326225467
38,364,364,770577,12071.0,2.808576430491423e-07,0.06659004767117682
39,369,369,403253,12081.0,4.7568650208161963e-07,0.11931003224424845
40,372,372,2716940,12086.0,1.0690744057700382e-07,0.07010814745320845
41,377,377,1393452,12095.0,1.7733494535684035e-07,0.046765389426404826
42,379,379,1496770,12099.0,1.7407423986366025e-07,0.1347615776691046
43,381,381,974996,12103.0,2.269973110319657e-07,0.07214036244815972
44,387,387,433742,12115.0,4.851398134719126e-07,0.17623806361843383
45,405,405,107738,13015.0,1.904620010956026e-06,0.1533754176221829
46,428,428,292256,13063.0,8.120602496309784e-07,0.07521133720874165
47,430,430,760141,13067.0,3.005862927754519e-07,0.10005848095524099
48,441,441,759297,13089.0,3.1613020140041423e-07,0.04316440857137865
49,444,444,87956,13095.0,2.9494549952707903e-06,0.16667064021120814
50,457,457,1063937,13121.0,2.121018159842869e-07,0.07123023191580807
51,464,464,936250,13135.0,2.4531954678618604e-07,0.06084286563230669
52,498,498,21863,13205.0,1.1697729500435445e-05,0.20829093405923757
53,526,526,29524,13261.0,8.232196588947695e-06,0.13274322512142417
54,624,624,5150233,17031.0,3.705812774756253e-08,0.05835318610211605
55,630,630,922921,17043.0,2.9062872613562944e-07,0.12139282823403219
56,653,653,532403,17089.0,4.393434747550315e-07,0.06700254856160591
57,654,654,109862,17091.0,2.0923304737245195e-06,0.1499015146497513
