,POPESTIMATE2019,FIPS,beta,f,cost
129,20846,5029.0,1.7009060072299338e-05,0.007770667911872889,0.5731700817870238
130,110332,5031.0,2.0125070556379933e-06,0.02736804249479992,0.0407546750304949
131,63257,5033.0,8.834156601614262e-08,0.01781719459975058,0.00013096264808254345
132,47955,5035.0,5.647790927915303e-06,0.04880277249018261,0.2533754608377844
133,16419,5037.0,1.4579830512652821e-06,0.00011051409486187436,6.657817675464398e-09
135,11361,5041.0,1.6952381792523658e-06,9.962150118683621e-06,6.649511330812158e-11
136,18219,5043.0,1.388389661956043e-05,0.04903827363373109,0.09622030555819332
137,126007,5045.0,1.3757566242793238e-05,2.463782377327972e-05,0.12677437407867653
140,99386,5051.0,2.828299776650749e-08,0.026424692006825807,0.00035705377511449757
141,18265,5053.0,1.5454649464717105e-06,0.0001395807735374427,1.3997090192772511e-08
142,45325,5055.0,2.0471033974440416e-06,0.00015603714735470953,7.294429444217837e-08
143,21532,5057.0,1.2552058177655699e-05,0.041171305931902796,0.12486949810119442
144,33771,5059.0,4.967749983759634e-06,0.0004462759389515375,2.4443568447789933e-06
145,13202,5061.0,6.404663892350828e-06,4.797504298510724e-05,3.1841658266437875e-09
146,37825,5063.0,3.808507685537757e-06,8.977627019993162e-05,1.0736420914134877e-07
149,66824,5069.0,3.85263491835425e-06,0.02498634354403572,0.5065049999114369
150,26578,5071.0,8.256874719727262e-06,0.00015358369469117839,4.6548969233594943e-07
152,16406,5075.0,1.5198371070640885e-05,0.04740298420349756,0.23439778290567162
153,8857,5077.0,1.947278008031045e-05,0.04835014711243901,0.2673184597373238
154,13024,5079.0,1.1852426796586016e-05,3.2846776359368723e-05,3.159775650422807e-08
157,73309,5085.0,4.7004673202191217e-07,0.0006763362907479392,2.6618527043676494e-07
160,43257,5091.0,5.542852771424118e-06,4.9160433379186186e-05,3.322873949170912e-08
164,8252,5099.0,4.69968134217014e-06,3.378278766567877e-05,5.886426478395994e-10
165,7753,5101.0,3.674633801906273e-06,0.00013320293502078195,7.437052147473617e-09
167,10455,5105.0,1.0300604062917348e-05,0.0001968921291593262,6.0081159052175e-08
169,10718,5109.0,7.749185454581508e-06,6.349330794135077e-05,6.42994393965759e-09
170,23528,5111.0,9.744353925718695e-06,2.2235068397061242e-05,1.3750974724372423e-07
171,19964,5113.0,6.760692612463669e-06,2.675465040012648e-05,7.1560504940549215e-09
172,64072,5115.0,2.057669056791588e-06,0.0003031300983147439,8.343128854804006e-07
174,391911,5119.0,7.308523752964418e-07,0.02765929295875311,10.92336248755397
175,17958,5121.0,1.7259696906047985e-06,0.00020348659213548226,2.2837935632965267e-08
176,24994,5123.0,1.2982068260883845e-05,4.007712901182847e-06,2.014088156318836e-09
177,122437,5125.0,1.6984341997423937e-06,0.028052544613962938,0.11817191201101145
178,10281,5127.0,1.0480642542086411e-05,9.291741732080083e-05,1.0434074595897614e-08
179,7881,5129.0,1.7295087494519323e-08,0.0014213502354712257,8.976728791178962e-07
180,127827,5131.0,8.939325737446135e-08,0.0014329347616745952,1.0968760863323947e-06
181,17007,5133.0,3.3098211506093524e-06,1.1386712588268288e-05,1.6320893060116278e-10
183,12506,5137.0,1.1395296430313142e-05,3.968243734789323e-06,9.911022565595717e-11
184,38682,5139.0,1.9577591340828605e-07,0.0003911926013831918,6.499033980824211e-08
185,16545,5141.0,1.4590285237907944e-05,0.04963434542400577,0.46774329601049053
186,239187,5143.0,6.089057058195993e-08,0.019715489493898473,0.00022575178694975645
187,78753,5145.0,6.321356084175325e-06,0.00021876190199619783,0.018119270111573365
188,6320,5147.0,7.667455572228314e-06,2.5938822870233413e-05,5.532734080176589e-10
191,1671329,6001.0,1.1821841069671219e-07,0.04439248231675903,186.25047153672253
192,1129,6003.0,1.229029331317056e-05,3.834179071726673e-05,5.112308688527155e-10
193,39752,6005.0,4.541626540445416e-06,0.0004574876050729981,7.914679375211596e-06
194,219186,6007.0,7.037529720225184e-08,0.006639062339400606,2.358763734571994e-05
195,45905,6009.0,2.5842065526994517e-09,0.025679151014798604,0.0002514805030132247
196,21547,6011.0,2.291586027422912e-06,3.4157433833614803e-06,8.080000705093613e-12
197,1153526,6013.0,2.15788488116674e-07,0.02409980482156498,5.341916343287593
199,192843,6017.0,8.588795169850775e-09,0.03286356529470859,0.0004645134921520668
200,999101,6019.0,2.2740782588864306e-07,0.029893260238210928,1.3995175253538612
201,28393,6021.0,4.5667420652049077e-07,0.00031470696089147543,3.800625207739925e-08
202,135558,6023.0,1.8864777986635374e-08,0.010986588987028575,8.482221670100882e-05
203,181215,6025.0,1.9817326098849133e-05,1.1990231646719085e-05,0.39934086545030656
204,18039,6027.0,3.425757448051277e-07,0.04743612960433388,0.03633332389272855
205,900202,6029.0,3.0339001400678803e-07,0.028191794903788144,1.4644726706655735
206,152940,6031.0,2.019257177822223e-06,0.0361654830395041,0.1131026104119413
209,10039107,6037.0,9.53598200943256e-06,5.9390968875125405e-05,196588.0801007469
210,157327,6039.0,1.2310679957963465e-06,0.030673308639038013,0.5287013313558042
211,258826,6041.0,8.813656893021334e-07,0.014775425383287355,9.146141699231967
213,86749,6045.0,3.8771522149346843e-07,0.0009827738798263985,7.979078558511225e-07
214,277680,6047.0,1.1249349276624062e-06,0.049462909120876475,1.6117995144330117
216,14444,6051.0,1.731506725308483e-05,0.0474177584183615,0.360356075440384
