,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
0,1007,22394,10.72362101,11.25980206,21.8,4.0,46064.0,92.3478,39.08677925,0.133431041578065,0.000533536585365854,0.00618591905041561,0.850112064224997,6.365119406003915e-06,6.782830167752218e-05
1,1009,57826,11.26326808,11.367077,13.2,3.5,50412.0,101.0645,282.15191125,0.00983120864995819,0.00150083627593351,0.00294057131154097,0.971844783030692,5.777032648909613e-07,0.002578061320193864
2,1011,10101,10.75215783,10.75215783,42.5,4.7,29267.0,58.6736,14.49910325,0.8010960441492081,0.00407734092016101,0.00029868578255675,0.168215034343472,7.4019729027065845e-06,3.163388081167673e-05
3,1013,19448,10.90099542,13.92051997,24.5,4.8,37365.0,74.9083,18.211516600000003,0.39659232770805897,0.00293310215286808,0.00159048381085162,0.5893024251852671,2.2005998438444488e-06,9.025570267843368e-05
4,1019,26196,8.504117985,13.13924536,16.3,3.6,42132.0,84.465,58.98964,0.0479472971982055,0.00444914735842121,0.00445409976212853,0.9299724961240999,1.1774058322478282e-05,3.2299643167352225e-05
5,1021,44428,12.43918683,11.35555531,17.3,3.6,47547.0,95.3209,65.15430714285719,0.137348437941302,0.00228717622911527,0.00262004785909195,0.821421069841609,3.820577680645569e-07,0.0007125890294586991
6,1023,12589,10.46337818,13.84627488,22.1,5.5,39907.0,80.0044,13.154105300000001,0.41366405776719606,0.00152671755725191,0.000245398773006135,0.5790146203544511,6.596640783400647e-06,0.0001745905933484282
7,1027,13235,10.78065513,14.09777979,17.6,3.9,39201.0,78.589,33.8427466666667,0.11752177054203801,0.0,0.0039142605219371,0.8674859564007099,9.513728102422094e-06,0.00014399597390754582
8,1035,12067,10.09893674,14.94314217,24.4,5.2,32613.0,65.3816,17.9347966666667,0.29322149766314,0.00117017719826145,0.00158809762621197,0.6956581674371449,2.708901935834614e-06,8.4029202002317e-05
9,1041,13772,9.928615429,12.97242454,19.5,4.1,39057.0,78.3004,22.874625,0.18888065053542896,0.006560351251871471,0.00850935247291475,0.7737402902895909,2.3029291881594637e-06,0.0005707054479497793
10,1045,49172,13.1821187,11.10715557,16.2,4.2,45309.0,90.8342,87.71247625,0.155286319134919,0.00675635901575817,0.0048452931503217295,0.794049484834095,3.6436591620505812e-06,0.00011540687120549507
11,1053,36633,11.48215482,12.95843187,23.6,4.6,38418.0,77.0193,50.29479,0.31896961414987607,0.0010725131396322,0.0362715867901957,0.620279151481042,3.716355482518109e-06,0.0004965444960640525
12,1057,16302,10.62692766,13.7417168,23.5,4.1,39254.0,78.6953,30.732315000000003,0.0429794513462823,0.00283744069532024,0.0,0.945799621912808,2.202522682768561e-06,0.00021902382653250785
13,1063,8111,11.76470588,11.39705882,30.1,6.7,28524.0,57.1841,13.8549816666667,0.760101798331977,0.00156880322725236,0.0038575227321175297,0.21942052452572602,7.436258818406447e-06,2.077540764407193e-05
14,1075,13805,11.48553473,12.42460361,17.4,3.8,40936.0,82.0673,20.630887,0.102647848926256,0.0,0.00181449845607476,0.8880424697575291,1.0679632008295523e-05,0.00018335391468936316
15,1079,32924,10.59743415,12.99628027,19.3,4.2,43909.0,88.0275,60.74078428571429,0.167384895930713,0.0023301387826292603,0.0303323737996448,0.7419546899087359,1.5680235205790402e-06,6.80333115389148e-05
16,1083,98915,10.39509565,8.857359605,11.4,3.5,64863.0,130.0355,180.46277,0.14708726658691001,0.0121098242378188,0.0046489681103519895,0.8040511665101681,6.122160331256233e-07,0.0012335994161706415
17,1085,9726,11.77664975,14.31472081,25.1,7.3,33973.0,68.1081,18.6934466666667,0.6452169120581039,0.00134138162307176,0.0008894818768067599,0.33841285926856607,8.597610809952768e-06,8.698488007638505e-05
18,1107,19930,10.27311451,11.77649712,23.1,4.6,37586.0,75.3513,21.499418333333303,0.36739948062791794,0.000392227598693443,0.000684111510176158,0.617843084285738,1.1066252426510803e-05,1.3105730662169024e-05
19,1109,33114,10.39845681,10.21761408,23.6,4.5,37259.0,74.6958,30.1203242857143,0.32133660780737605,0.0204360759423139,0.0121290436549592,0.6290956782838579,5.83502822654852e-07,0.0004386038533872594
20,1113,57961,13.99628494,10.50585339,21.7,4.0,39104.0,78.3946,470.96107800000004,0.45633362825959295,0.0044146826379136,0.00214178261362922,0.505975979511417,1.05557415666536e-06,0.0017643784965133827
21,1119,12427,10.85351742,13.00825985,34.7,5.9,27859.0,55.8509,17.7288735,0.8017246469634709,0.0188869939326944,0.0044333910034602105,0.17067639803506401,1.1644457072535784e-05,4.509915472833415e-05
22,1127,63521,11.79337998,15.23704694,17.9,4.2,45434.0,91.0848,135.653850588235,0.0727495526705608,0.00236273574538988,0.0007315826133357599,0.899996310439287,1.2574026938851058e-06,0.00035603799928027313
23,1133,23629,10.27006466,13.73568319,18.6,4.2,41156.0,82.5084,32.62489375,0.00263747357156,0.0077123467145756,0.004066077626131579,0.97596191366713,2.083829424951335e-06,0.0001007999606017565
24,2110,31974,10.62317414,5.53029948,7.3,4.4,79173.0,105.688,178.45126375,0.0114943294908311,0.0696380662255794,0.125778362500296,0.6934089308818341,3.1746688727345495e-06,0.00014558577433872175
25,2130,13901,11.02424614,6.340742876,9.1,6.0,68309.0,91.1857,4.0586995,0.00247362677337214,0.0381593306656966,0.06671516915241901,0.8246966866896491,9.570522157871996e-06,0.00013024392540016141
