,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
10,6065,2470546,11.99348702,7.38273531,12.7,4.4,66793.0,88.7615,1824.34932947,0.0572792656444996,0.0499287068653904,0.00865097175640294,0.663468338131716,1.0024873098899428e-07,0.07406990770270941
11,6067,1552058,12.41877518,8.003095635,14.3,3.8,69475.0,92.3256,4899.28483230769,0.10895043512423401,0.11819364857701199,0.00980372998958725,0.617897928097549,1.2039315004372233e-07,0.05329434884978397
12,6071,2180085,13.49992799,7.004171768,14.9,4.0,63310.0,84.1329,1790.9116825435897,0.07404248420836299,0.0504572950619606,0.00808487309317905,0.716070863992216,1.2062788254078976e-07,0.1042799137685372
13,6073,3338330,12.17081465,6.909874133,11.5,3.3,78777.0,104.687,4260.65105711067,0.0438196361735993,0.10014336317223899,0.0142137069801138,0.7369719645203149,5.5525861693068327e-08,0.048477031066510363
14,6075,881549,10.06443485,7.216930677000001,10.1,2.4,110601.0,146.9781,19891.52056,0.0539599754480283,0.318153808915922,0.00324963489498215,0.503910766149612,1.864255414284648e-07,0.017852039280620076
15,6077,762148,13.17145538,7.708767568,14.3,6.0,63567.0,84.4744,2219.67713538462,0.05614401280791599,0.111124777594235,0.0078073084670456,0.6087524692049261,2.814651244186634e-07,0.07976349954683161
16,6081,766573,10.97538258,6.757188061,6.8,2.2,122930.0,163.3621,4532.7909675,0.0175332889625099,0.21848316039254997,0.00284842020223222,0.6240669184779211,2.7164385028167637e-07,0.0654780889867635
17,6085,1927852,11.24970824,5.8328750220000005,7.3,2.6,125933.0,167.3528,5498.23589051402,0.0355126002627253,0.312288470835192,0.00408344317159811,0.505369371846859,8.68505096632369e-08,0.05285871983876583
18,8001,517421,13.17489247,6.236543462,9.2,3.5,70199.0,97.5677,3564.5129745,0.0496768772409295,0.0356242069429697,0.0128936147248904,0.803863778301925,4.7167207141296656e-07,0.08497188048914306
19,8005,656590,11.62500086,6.342160232,8.1,3.2,76665.0,106.5546,3399.15543768966,0.0782775013952856,0.0418760479814452,0.00604541638041559,0.77458825687767,3.714980677638658e-07,0.11491256811871685
20,8013,326196,8.017429997,5.946234972999999,9.7,2.8,83591.0,116.1809,1068.91208361905,0.00725554144290082,0.037458776922432,0.0036237503443941796,0.910399959878527,6.976203671941548e-07,0.11393789188760076
21,8031,727211,12.98532154,6.920793972,11.7,3.2,68069.0,94.6073,7715.79523333333,0.0778542320924492,0.0358692004701835,0.00605891854848223,0.8050460222885409,3.269027803428851e-07,0.09819273894637
22,8041,720403,13.280353400000001,6.764435682999999,9.9,3.9,67923.0,94.4044,2122.6295993548397,0.056468467547908,0.0215627550491493,0.006683079511907129,0.8189440368996009,2.979645883136981e-07,0.12711787617117656
23,8059,582881,10.01830035,7.9138033839999995,7.0,3.0,85550.0,118.9037,2484.9635482121203,0.0120280376773701,0.024201145769812,0.00847194986426145,0.911415619181744,3.757206054706931e-07,0.08822155761030365
24,8123,324492,13.63976931,5.80628712,10.5,3.0,75629.0,105.1147,646.752734228205,0.00891064424857831,0.00930135529508462,0.009496367452191259,0.904291865263546,7.731207265198517e-07,0.11802200997985765
25,9001,943332,10.17642636,7.375604235,10.0,4.0,91183.0,119.4026,3632.5262782051295,0.10501072361878999,0.0540607949289189,0.00250426746364067,0.7499978410364209,2.9235449355056447e-07,0.16145356483387469
26,9003,891720,10.22922154,9.275346074,11.2,4.2,73037.0,95.6407,2631.43173705263,0.131422964415405,0.0564043188998893,0.00200366606294205,0.7272629509662459,3.1953806940244023e-07,0.29500273614955264
27,9005,180333,7.647442921000001,10.17076707,6.9,3.8,76304.0,99.9188,259.33815931818197,0.0117533894004376,0.013340495525928002,0.0014785673235656,0.9496993594073408,1.2930165505526389e-06,0.1605255070939043
